ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH
448 S Oakland Ave #7,Pasadena,91101,1288000,3,3.5,1852,17612,2004,23,695,497
4506 Spencer St,Torrance,90503,1240000,3,2.5,2525,61765,1984,32,491,325
4515 Canoga Ave,Woodland Hills,91364,825000,3,1.5,1675,7535,1959,4,493,0
453 Alberta St,Altadena,91001,894999,3,1,1488,5758,1925,34,601,0
455 S Hamel Rd,Los Angeles,90048,2699000,3,3.5,2590,6505,1936,18,1042,0
4567 W Avenue 40,Los Angeles,90065,1189000,3,3,1884,6478,1936,10,631,0
4580 W 142nd St,Hawthorne,90250,924000,3,1,1096,5800,1947,60,843,0
4609 Pepperwood Ave,Long Beach,90808,1250000,3,2,2366,7522,1940,157,528,0
4624 W 160th St,Lawndale,90260,734500,3,1,1023,4806,1956,45,718,0
4627 W 153rd St,Lawndale,90260,749000,3,1,1208,4725,1911,140,620,0
4650 Willowcrest Ave,Toluca Lake,91602,1449000,3,2,1858,7833,1941,1,780,0
4670 Brewster Dr,Tarzana,91356,1650000,3,2,2033,19097,1961,1,812,0
4708 Michelle Dr,Torrance,90503,1295000,3,2,1753,6035,1960,3,739,0
4714 W 159th St,Lawndale,90260,700000,3,2,1054,6157,1948,99,664,0
4771 Don Ricardo Dr #18,Los Angeles,90008,950000,3,2.5,1832,14988,1961,84,519,279
4773 W 118th St,Hawthorne,90250,850000,3,2,1778,5125,1939,8,478,0
4823 Shelby Pl,Los Angeles,90041,999999,3,2,1380,4863,1922,1,725,0
4825 Montair Ave,Long Beach,90808,799950,3,2,1442,5875,1950,4,555,0
4836 Nob Hill Dr,Los Angeles,90065,1195000,3,2,1384,4772,1953,4,863,0
4848 Wilshire Blvd #304,Los Angeles,90010,1650000,3,4,2330,40728,2008,83,708,590
4848 Wilshire Blvd Ph 305,Los Angeles,90010,1670000,3,4,2460,40664,2008,25,679,590
4866 Reforma Rd,Woodland Hills,91364,1499999,3,2,1666,11569,1961,2,900,0
4912 Mendota Ave,Los Angeles,90042,1550000,3,3,1794,4802,1924,17,864,0
4912 S Centinela Ave,Los Angeles,90066,1550000,3,3.5,1992,0,2021,1,778,192
4916-1/2 S Centinela Ave,Los Angeles,90066,1650000,3,3.5,2010,0,2021,1,821,192
4932 W 21st St,Los Angeles,90016,979999,3,1,1466,4109,1928,60,668,0
4958 Canoga Ave,Woodland Hills,91364,964000,3,2,1200,6300,1952,3,803,0
4B,Gardena,90248,755000,3,3.5,1795,0,0,0,421,0
5005 Morrison Ct,North Hollywood,91601,1125000,3,3.5,1681,950,2019,1,669,90
5017 Buchanan St,Highland Park,90042,960000,3,2,1076,5401,1911,7,892,0
5126 W 141st St,Hawthorne,90250,1099000,3,2,1950,5800,1951,6,564,0
516 N Citrus Ave,Los Angeles,90036,2500000,3,3,0,5114,1938,2,0,0
5162 W Redondo Ct,Los Angeles,90019,1149000,3,2.5,1762,1174,2018,3,652,186
524 Cluster Ln,Redondo Beach,90278,1199000,3,1,1204,7612,1955,4,996,0
524 N Mansfield Ave,Los Angeles,90036,1849000,3,3,1831,4804,1925,3,1010,0
5243 Eagle Dale Ave #4,Los Angeles,90041,550000,3,2.5,1392,8850,1992,9,395,400
5258 Hermitage Ave #4,Valley Village,91607,1149000,3,3,1665,7586,2022,1,690,385
5310 Raintree Cir #310,Culver City,90230,799000,3,2,1322,296873,1972,12,604,650
5352 Hinton Ave,Woodland Hills,91367,1150000,3,2,1927,10766,1960,4,597,0
5360 Rhea Ave,Tarzana,91356,1099000,3,2,1510,7700,1950,3,728,0
540 N Sweetzer Ave,Los Angeles,90048,2339000,3,3.5,2826,3570,2006,6,828,0
5410 Allan St,Los Angeles,90032,845000,3,2,969,4799,1943,1,872,0
5431 W 119th St,Inglewood,90304,1300000,3,3,1761,7829,1939,21,738,0
5519 W 123rd Pl,Hawthorne,90250,1150000,3,2,1132,5038,1950,5,1016,0
5603 E Peabody St,Long Beach,90808,1100000,3,2,1492,5618,1949,5,737,0
5621 W Murray Ln,Los Angeles,90016,1375000,3,3.5,1926,1875,2021,3,714,125
5631 W Murray Ln,Los Angeles,90016,1575000,3,4.5,2614,2114,2021,73,603,0
5703 Candlewood St,Lakewood,90713,750000,3,1,1122,5761,1951,2,668,0
5722 Coldbrook Ave,Lakewood,90713,852000,3,2,1682,5100,1951,4,507,0
5923 Etiwanda Ave #106,Tarzana,91356,849500,3,3.5,2125,16165,1990,4,400,425
597 N Mar Vista Ave,Pasadena,91106,1915000,3,2,1750,8701,1923,441,1094,0
600 Anderson St,Manhattan Beach,90266,4699000,3,3,2025,7151,1958,81,2320,0
604 N Isabel St,Glendale,91206,1599000,3,5,2263,7012,1921,84,707,0
610 S Oakland Ave,Pasadena,91106,1980000,3,2.5,2224,7631,1883,22,890,0
6115 Melvin Ave,Tarzana,91356,1199000,3,1,1247,21841,1953,3,962,0
6140 E Wardlow Rd,Long Beach,90808,819000,3,2,1344,5146,1950,4,609,0
616 S Los Robles Ave,Pasadena,91106,2170000,3,3.5,2877,10000,1982,13,754,0
6214 N Burton Ave,San Gabriel,91775,828000,3,2,1314,6427,1956,23,630,0
6242 Arbor Rd,Lakewood,90713,850000,3,1,1442,5461,1950,62,589,0
625 W 105th St,Los Angeles,90044,599900,3,3,1144,4830,1923,3,524,0
6330 Primrose Ave,Los Angeles,90068,1699000,3,3,2000,4186,1921,3,850,0
636 Patterson Ave,Glendale,91203,1050000,3,1,1678,6403,1938,25,626,0
6460 Whitaker Ave,Lake Balboa,91406,905000,3,2,1307,5999,1954,1,692,0
6506 Balcom Ave,Reseda,91335,775000,3,1,1123,6041,1950,3,690,0
657 N Kilkea Dr,Los Angeles,90048,2700000,3,3,2545,5764,1925,21,1061,0
671 E Washington Blvd #108,Pasadena,91104,837000,3,2.5,1600,14144,2012,123,523,326
6840 Balboa Blvd #301,Lake Balboa,91406,599000,3,2.5,1279,37152,1979,2,468,375
6902 Tanglewood St,Lakewood,90713,945992,3,2.5,1368,5468,1956,11,692,0
6924 Remmet Ave,Canoga Park,91303,895000,3,2,1527,8008,1957,1,586,0
7008 Encino Ave,Lake Balboa,91406,900000,3,2,1144,8874,1951,1,787,0
704 W California Ave,Glendale,91203,1200000,3,3,2104,5576,1923,27,570,0
709 W 129th St,Gardena,90247,799000,3,2,1428,5375,1958,16,560,0
710 Longfellow Ave,Hermosa Beach,90254,2750000,3,2,1753,4027,1910,5,1569,0
719 E Maple St,Glendale,91205,949000,3,2,1408,4407,1924,350,674,0
724 N Croft Ave #112,Los Angeles,90069,3495000,3,3.5,3036,0,2021,36,1151,877
732 Vernon Ave,Venice,90291,4237000,3,4.5,3591,4802,2014,1,1180,0
735 E 95th St,Los Angeles,90002,574900,3,1,1001,4996,1942,4,574,0
7411 Lemp Ave,North Hollywood,91605,969999,3,2,1410,6629,1956,3,688,0
7424 Miramonte Blvd,Los Angeles,90001,599000,3,3,898,5234,1930,3,667,0
7461 Puerto Rico Dr,La Palma,90623,899900,3,2,1552,5253,1965,5,580,0
7605 Lilly Way,North Hollywood,91605,749995,3,2.5,1559,2923,2016,1,481,152
7619 S Hobart Blvd,Los Angeles,90047,655000,3,2,1420,5205,1925,4,461,0
7631 Reseda Blvd #79,Reseda,91335,425000,3,3,1223,183107,1973,1,348,350
7814 Sunnybrae Ave,Winnetka,91306,780000,3,2,1380,6919,1954,1,565,0
821 N Avenue 50,Los Angeles,90042,1249000,3,2,1600,7161,1936,12,781,0
830 W 64th St,Los Angeles,90044,650000,3,2,1247,4925,1917,2,521,0
845 Winston Ave,San Marino,91108,2195000,3,3,3282,12749,1951,1,669,0
846 W 173rd St,Gardena,90247,755000,3,2,1371,6289,1961,4,551,0
849 S Broadway #603,Los Angeles,90014,3100000,3,2,2240,22844,1930,75,1384,2235
8554 Burnet Ave #126,North Hills,91343,620000,3,2.5,1537,137706,2003,1,403,300
865 N Holliston Ave,Pasadena,91104,1649000,3,3,1875,12197,1922,13,879,0
8750 Ardendale Ave,San Gabriel,91775,1100000,3,1.5,1704,8909,1948,1,646,0
8847 Willis Ave Unit B2,Panorama City,91402,410000,3,2,1227,66025,1979,3,334,311
8921 David Ave,Los Angeles,90034,1699000,3,2,1648,5239,1931,4,1031,0
900 S Visalia Ln,Compton,90220,695000,3,3,1859,3126,1989,5,374,0
9017 Alcott St #303,Los Angeles,90035,995000,3,2.5,1437,8326,1989,4,692,479
9028 Monte Mar Dr,Los Angeles,90035,1999000,3,2,1949,7594,1942,4,1026,59
907 Schumacher Dr,Los Angeles,90048,3299000,3,3,2134,8253,1929,9,1546,0
908 Arlington Ave,Torrance,90501,1490000,3,0,1728,6858,1924,6,862,0
9080 Bloomfield #185,Cypress,90630,97700,3,2,1000,0,1968,45,98,1970
9080 Bloomfield Ave #251,Cypress,90630,120000,3,2,0,0,2001,14,0,0
9080 Bloomfield Ave #293,Cypress,90630,139800,3,2,1440,0,1970,76,97,0
9080 Bloomfield Ave #69,Cypress,90630,129000,3,2,1062,0,1998,37,121,0
923 Crestview Dr,Pasadena,91107,1319000,3,2,1545,7292,1953,6,854,2
9324 Heiner St,Bellflower,90706,709000,3,2,1161,5786,1957,4,611,0
9325 Rose St,Bellflower,90706,950000,3,1,1216,19260,1936,4,781,0
9348 Cedar St,Bellflower,90706,870000,3,2,1368,9992,1933,4,636,0
9509 Sawyer St,Los Angeles,90035,3500000,3,2,2720,8110,1948,7,1287,68
951 Marview Ave,Los Angeles,90012,899900,3,2,1563,4193,1929,1,576,0
9622 Salisbury Ln,Cypress,90630,925000,3,2,1861,6433,1964,10,497,0
9660 Sombra Valley Dr,Sunland,91040,800000,3,2,1662,17620,1962,2,481,0
9735 Rose St,Bellflower,90706,885000,3,2.5,1911,5049,2018,7,463,0
9866 Linden St,Bellflower,90706,699000,3,2,1362,5025,1947,108,513,0
10068 Larwin Ave #2,Chatsworth,91311,629000,4,3,2138,153166,1972,3,294,625
10123 Palm St,Bellflower,90706,845000,4,2,1912,9710,1920,4,442,0
10201 Crestbrook St,Bellflower,90706,949999,4,3,2126,6129,1967,5,447,0
1025 S Burnside Ave,Los Angeles,90019,1995000,4,3,2520,7366,1925,20,792,0
1032 Hauser Blvd,Los Angeles,90019,1990000,4,3,2705,7250,1924,115,736,0
1045 W 209th St,Torrance,90502,850000,4,2,1582,4945,1953,3,537,0
10538 Wellworth Ave,Los Angeles,90024,2250000,4,3,1634,6506,1926,105,1377,0
1057 S Hobart Blvd,Los Angeles,90006,2220000,4,3,2399,6209,1950,3,925,0
10603 Rochester Ave,Los Angeles,90024,2730000,4,3,2267,9494,1926,19,1204,0
107 Palatine Dr,Alhambra,91801,1298000,4,2,1964,6533,1928,1,661,0
1072 Granada Ave,San Marino,91108,2880000,4,4,3282,13741,1927,4,878,0
108 N Edinburgh Ave,Los Angeles,90048,4295000,4,4.5,3504,6608,2020,18,1226,0
10943 Pickford Way,Culver City,90230,1950000,4,3.5,2240,4995,2021,112,871,0
1111 E Elk Ave,Glendale,91205,975000,4,2,1552,3940,1920,138,628,0
11118 Excelsior Dr Unit B,Norwalk,90650,798000,4,4,2120,14059,2008,16,376,115
1117 E Altadena Dr,Altadena,91001,2900000,4,3.5,4008,19404,2004,5,724,0
112 Grandview St,Pasadena,91103,1249900,4,0,1628,5193,1948,104,768,0
11574 Seminole Cir,Porter Ranch,91326,1299000,4,3,3000,9310,1970,1,433,0
11835 Firestone Blvd,Norwalk,90650,1150000,4,0,2548,7251,1957,95,451,0
11958 Eberle,Cerritos,90703,899000,4,2,1358,5499,1971,3,662,0
11975 Sycamore St,Norwalk,90650,725000,4,2,940,4237,1923,62,771,0
1200 Oakwood Dr,San Marino,91108,2690000,4,3.5,3111,16588,1947,7,865,0
12052 208th St,Lakewood,90715,774999,4,2,1568,5796,1952,151,494,0
1212 S Tremaine Ave,Los Angeles,90019,1690000,4,4,3309,7400,1922,95,511,0
12120 S La Cienega Blvd,Hawthorne,90250,1100000,4,4,2647,5264,2005,81,416,0
1227 243rd St,Harbor City,90710,865000,4,3,2330,5609,1965,1,371,0
1243 Beverly Green Dr,Beverly Hills,90212,5695000,4,4,3486,9824,1939,61,1634,0
125 E Adams Blvd,Los Angeles,90011,999000,4,4,3269,7444,1920,3,306,0
12508 Bubbling Creek Ln,Cerritos,90703,1688000,4,3,2056,4330,1975,53,821,70
1259 S Muirfield Rd,Los Angeles,90019,1100000,4,4,2260,4960,1929,3,487,0
1288 S Citrus Ave,Los Angeles,90019,1450000,4,4,4256,6000,1924,13,341,0
1288 West Blvd,Los Angeles,90019,1100000,4,4,2160,7033,1948,6,509,0
13108 Aztec St,Sylmar,91342,875000,4,2.5,2004,7601,1978,18,437,0
1317 Hauser Blvd,Los Angeles,90019,1645000,4,2,2588,4758,1928,7,636,0
1318 E 110 St,Los Angeles,90059,529000,4,4,2137,5663,1928,2,248,0
1320 Blinn Ave,Wilmington,90744,749000,4,3,1600,4301,1924,3,468,0
1328 S Genesee Ave,Los Angeles,90019,2600000,4,3.5,2466,7372,1929,28,1054,0
13437 Reva Cir,Cerritos,90703,965000,4,2,1427,5003,1970,3,676,0
1347 Braeridge Dr,Beverly Hills,90210,3349000,4,4,2773,6429,1964,1,1208,0
13639 Felson St,Cerritos,90703,980000,4,2,1686,5206,1971,4,581,0
13717 Simshaw Ave,Sylmar,91342,799000,4,2,1886,7563,1959,4,424,0
138 N Carson Rd,Beverly Hills,90211,3795000,4,4.5,3993,6501,1990,103,950,0
138 S Bonnie Ave #1,Pasadena,91106,998000,4,3,2050,23155,2005,13,487,413
1403 Lafayette St,San Gabriel,91776,920000,4,3,1444,6848,1940,7,637,0
14035 Zirconia Lane Unit 4,Gardena,90247,779692,4,3.5,1840,0,2022,7,424,283
141 N CHEVY CHASE Dr,Glendale,91206,1499900,4,0,2060,6558,1923,33,728,0
1428 S Norton Ave,Los Angeles,90019,1290000,4,2,2496,5983,1909,6,517,0
1431 Palm Ave,San Gabriel,91776,948000,4,3.5,2010,12621,1999,3,472,180
1446 Las Lunas St,Pasadena,91106,1598000,4,3,3176,9006,1909,3,503,0
14624 Robert St,Bellflower,90706,865000,4,2,1863,5538,1969,18,464,0
1464 Virginia Rd,San Marino,91108,5880000,4,4,4244,21661,1928,122,1385,0
1465 Bellwood Rd,San Marino,91108,2808000,4,4,2533,9086,2016,19,1109,0
15116 Clark Ave,Bellflower,90706,999000,4,0,2662,6012,1954,24,375,0
1521 S Hayworth Ave #102,Los Angeles,90035,1100000,4,4,1730,6880,2010,7,636,456
153 S La Peer Dr,Los Angeles,90048,2495000,4,3,1881,6000,1924,35,1326,0
15338 Cornuta Ave,Bellflower,90706,870000,4,3,2356,6496,1997,93,369,0
1537 Marcelina,Torrance,90501,1195000,4,2,1460,6251,1922,46,818,0
1549 S Ridgeley Dr,Los Angeles,90019,1980000,4,3,2278,4788,1926,50,869,0
15805 Virginia Ave,Bellflower,90706,926000,4,4,2080,4791,1946,1,445,0
16222 S Visalia Ave,Carson,90746,759000,4,2,1700,5463,1964,536,446,0
16316 sylvanwood Ave,Norwalk,90650,769000,4,2,1610,5152,1959,47,478,0
16437 Bryant St,North Hills,91343,1075000,4,2,1659,7744,1963,3,648,0
16606 Delia Ave,Torrance,90504,1200000,4,2,2295,6466,1974,6,523,0
1664 Benedict Canyon Dr,Beverly Hills,90210,2295000,4,3,2862,8299,1941,1,802,0
1670 N Sierra Bonita Ave,Pasadena,91104,1300000,4,1.5,1323,8799,1913,1,983,0
16706 Elmcroft Ave,Cerritos,90703,980000,4,2.5,2080,4124,2021,67,471,0
16762 Calle De Catalina,Pacific Palisades,90272,2499000,4,3.5,3117,143964,1996,1,802,727
1703 S Berendo St,Los Angeles,90006,969000,4,4,2756,4763,1905,3,352,0
1760 Ramiro Rd,San Marino,91108,3300000,4,3.5,3953,11224,1928,11,835,0
1803 Gramercy Ave,Torrance,90501,1695000,4,4,1426,5738,1912,20,1189,0
18145 Gault St,Reseda,91335,805000,4,2,1958,6080,1965,189,411,0
1817 Dewey St,Santa Monica,90405,3650000,4,3.5,3488,7877,2011,7,1046,0
1823 Pullman Ln,Redondo Beach,90278,2495000,4,3,1900,4999,1962,17,1313,0
1856 W 43rd St,Los Angeles,90062,1099000,4,2,1442,5626,1916,2,762,0
18739 Rochelle Ave,Cerritos,90703,1599990,4,3,1965,6497,1977,31,814,0
188 S Sierra Madre Blvd #5,Pasadena,91107,1880000,4,4.5,3405,32623,2018,9,552,451
1908 Boca Ave,Los Angeles,90032,1249000,4,3,1917,4800,1961,4,652,0
19103 Galway Ave,Carson,90746,820000,4,2,1400,6120,1960,28,586,0
1935 Sherwood Rd,San Marino,91108,3280000,4,3.5,3550,12279,2001,3,924,0
1949 S Bedford St,Los Angeles,90034,1600000,4,3,1795,6303,1948,49,891,0
1950 Las Lunas St,Pasadena,91107,1650000,4,3,2438,7503,1923,30,677,0
1950 Westholme Ave,Los Angeles,90025,1795000,4,3,1958,7122,1935,4,917,0
19825 Stagg St,Winnetka,91306,950000,4,3,2265,7875,1981,4,419,0
19915 Ray Cir,Cerritos,90703,1060000,4,2.5,2431,7051,1967,119,436,0
200 S Almont Dr,Beverly Hills,90211,4995000,4,5,3615,5913,1988,19,1382,0
2001 N Salinas Ave N,Los Angeles,90059,604000,4,2,1350,5054,1944,3,447,0
2002 8th Ave,Los Angeles,90018,999000,4,4,3152,7500,1912,40,317,0
20102 Avenida Barcelona,Cerritos,90703,1175000,4,3,2385,6567,1974,127,493,0
2016 Veteran Ave,Los Angeles,90025,2325000,4,2.5,2048,6750,1923,3,1135,0
2104 Harkness St,Manhattan Beach,90266,2695000,4,3,3200,5404,1990,6,842,0
2117 Border Ave,Torrance,90501,1300000,4,3,2210,6900,1946,1,588,0
2119 Curtis Ave Unit A,Redondo Beach,90278,1449000,4,2.5,2380,7487,1990,6,609,0
21243 Mulholland Dr,Woodland Hills,91364,2290000,4,3.5,3506,0,1930,1,653,0
216 Westmont Dr,Alhambra,91801,898000,4,3,1975,9399,1927,4,455,0
2186 Melville Dr,San Marino,91108,2750000,4,3.5,2916,11725,1934,7,943,0
22148 Jennifer Way,West Hills,91304,819000,4,3,2233,97257,2001,2,367,211
2282 Canyonback Rd,Los Angeles,90049,2895000,4,4.5,4558,237795,1986,2,635,1957
2285 Huntley Cir,San Marino,91108,2987000,4,3.5,3677,16900,1948,24,812,0
2301 Walnut Ave,Manhattan Beach,90266,3850000,4,3,3583,4480,1990,1,1075,0
2305 S Burnside Ave,Los Angeles,90016,1295000,4,3,1937,5789,1924,19,669,0
24015 Gilmore St,West Hills,91307,1050000,4,2,2011,7863,1960,4,522,0
2404 PROSPECT Ave,Hermosa Beach,90254,1995000,4,4,2064,3337,1973,37,967,0
2410 Loma Vista St,Pasadena,91104,1999500,4,3,2616,9551,1937,48,764,0
2415 Langdale Ave,Los Angeles,90041,1138888,4,3,1756,7013,1921,74,649,0
2454 Ridgeway Rd,San Marino,91108,2850000,4,3,2898,7746,1930,32,983,0
2510 W 144th St,Gardena,90249,975000,4,2,1592,6208,1952,31,612,0
2618 Graham Ave,Redondo Beach,90278,1550000,4,3,1909,7501,1957,125,812,0
2620 Huntington Ln,Redondo Beach,90278,1300000,4,4,2050,7415,2008,5,634,190
28104 Pontevedra Dr,Rancho Palos Verdes,90275,1295000,4,2,1864,10000,1959,3,695,0
2830 Canterbury Rd,San Marino,91108,3369000,4,4.5,3757,11970,1948,157,897,0
2836 Angelo Dr,Los Angeles,90077,1700000,4,2.5,2914,1244628,1969,2,583,385
2848 S West View St,Los Angeles,90016,1299000,4,4.5,2976,5201,1922,3,436,0
2951 Mandeville Canyon Rd,Los Angeles,90049,3900000,4,3,2564,14041,1960,3,1521,0
3034 Edgehill Dr #3036,Los Angeles,90018,1199000,4,2,2592,8006,1925,6,463,0
308 S Arroyo Dr Unit F,San Gabriel,91776,888000,4,4,1700,38326,2017,37,522,275
3101 Via Maderas St,Altadena,91001,1598000,4,3,2972,8881,1966,101,538,0
317 S Oakhurst Dr,Beverly Hills,90212,3995000,4,4.5,3573,6070,1933,4,1118,0
320 E Saxon Ave,San Gabriel,91776,1199800,4,3,2073,12183,1925,3,579,0
3209 W 71st St,Los Angeles,90043,749900,4,1.5,1567,4810,1929,19,479,0
321 N Martel Ave,Los Angeles,90036,2750000,4,2.5,3554,7000,1928,27,774,0
327 N La Peer Dr,Beverly Hills,90211,3495000,4,4,2584,5698,1927,4,1353,0
328 S Peck Dr,Beverly Hills,90212,3695000,4,3,2982,7653,1929,4,1239,0
3301 S Beverly Dr,Los Angeles,90034,1673000,4,0,2232,4001,1952,6,750,0
3326 Whiteside St,Los Angeles,90063,700000,4,3,1550,5933,1925,1,452,0
336 N Stanley Ave,Los Angeles,90036,2200000,4,4,4408,6501,1927,4,499,0
3400 Julian Ave,Long Beach,90808,1279000,4,3,2230,5900,1962,86,574,0
3403 Earle Ave,Rosemead,91770,860000,4,2,1612,6025,1942,1,533,0
3411 N Los Coyotes Diagonal,Long Beach,90808,899900,4,3,1386,5894,1950,25,649,0
3415 Andrita St,Los Angeles,90065,899500,4,2.5,1710,16618,2005,13,526,265
3456 N El Dorado Dr,Long Beach,90808,1250000,4,3,2129,5633,1964,3,587,0
3468 Rosewood Ave,Los Angeles,90066,2995000,4,3.5,2682,4902,2014,5,1117,0
3500 Griffith Park,Los Angeles,90027,2150000,4,3,2823,7066,1930,4,762,0
3508 E Hedda St,Long Beach,90805,799000,4,3,1499,8661,1950,2,533,0
3535 Perlita Ave,Los Angeles,90039,1395000,4,3,2360,6752,1993,3,591,0
3551 Glenridge Dr,Sherman Oaks,91423,4295000,4,6,5307,18498,1982,1,809,0
3600 Sara Dr,Torrance,90503,1499000,4,2,2108,6070,1964,21,711,0
3606 Mandeville Canyon Rd,Los Angeles,90049,2995000,4,5,3700,8782,1956,4,809,0
3639 E California Blvd,Pasadena,91107,3495000,4,5.5,4909,27000,1941,0,712,0
3653 Chariette Ave,Rosemead,91770,749000,4,1,1351,6096,1941,7,554,0
3714 Glendon Ave,Los Angeles,90034,1950000,4,3,2184,5434,1949,38,893,0
3728 S Barrington Ave,Los Angeles,90066,3699000,4,4.5,3799,8588,2013,31,974,0
373 S Crescent Heights Blvd,Los Angeles,90048,1785000,4,3.5,3212,2811,1929,17,556,0
38 S 5th St Unit C,Alhambra,91801,799800,4,3.5,1760,0,2012,12,454,225
3821 Crestview Rd,Culver City,90232,1998000,4,3,2026,7479,1959,1,986,0
3840 S Dunsmuir Ave,Los Angeles,90008,1299990,4,2,1804,8875,1947,8,721,0
3929 Bentley Ave,Culver City,90232,1710000,4,2.5,2466,5003,1947,5,693,0
400 Vance St,Pacific Palisades,90272,6995000,4,4,2734,26631,1948,4,2559,0
4062 Mantova Dr,Los Angeles,90008,3350000,4,4,2672,17666,1956,4,1254,0
4133 Tilden Ave,Culver City,90232,2850000,4,3,1992,9600,1960,71,1431,0
4145 Elenda St,Culver City,90232,1450000,4,4,2500,5866,1949,10,580,0
417 Norwich Dr,West Hollywood,90048,6475000,4,4.5,4072,7985,2017,34,1590,0
422 S Sycamore,Los Angeles,90036,1999000,4,3,1769,6502,1924,47,1130,0
4221 Beethoven St,Los Angeles,90066,1450000,4,3,2175,4560,1949,4,667,0
425 N Maple Dr #202,Beverly Hills,90210,2695000,4,5,2477,34978,1990,19,1088,2943
4302 City Terrace Dr,Los Angeles,90063,998000,4,4,2392,7568,1956,3,417,0
4325 Andy St,Lakewood,90712,1000000,4,2,1536,6383,1944,15,651,0
440 W Elk Ave,Glendale,91204,1349999,4,3,1630,6247,1921,166,828,0
441 W Lexington Dr,Glendale,91203,1539000,4,4,3614,7316,1925,82,426,0
4424 Alumni Ave,Los Angeles,90041,780000,4,2,1508,2521,1921,384,517,0
4454 Stillwell Ave,Los Angeles,90032,829000,4,2,1634,5727,1926,80,507,0
4706 W 118th St,Hawthorne,90250,900000,4,3,1892,5032,1947,18,476,0
4717 Wilshire Blvd,Los Angeles,90010,1699000,4,3.5,2293,1900,2017,18,741,0
4720-4722 6th Ave,Los Angeles,90043,770000,4,0,2239,6779,1923,1,344,0
4733 St Charles Pl,Los Angeles,90019,998900,4,3,1723,2450,1923,5,580,0
4749 Montair Ave,Long Beach,90808,1050000,4,3,2533,5286,1950,67,415,0
47-51 El Nido Ave,Pasadena,91107,1225000,4,4,2814,8024,1926,175,435,0
4838 Bellflower,Lakewood,90713,725000,4,2,1752,5002,1950,6,414,0
5008 Strohm Ave,Toluca Lake,91601,2400000,4,4.5,3587,8101,2017,6,669,0
507 N Stanley Ave,West Hollywood,90036,1899950,4,4.5,2604,6354,2022,110,730,0
516 E Hermosa Dr,San Gabriel,91775,2250000,4,3,3404,27131,1937,292,661,0
5171 La Luna Dr,La Palma,90623,1100000,4,2.5,2540,4896,1965,5,433,0
521 La Paz Dr,Pasadena,91107,2998000,4,5,3185,8228,2018,14,941,0
523 Lincoln Ave,Pasadena,91103,1500000,4,3,1979,9584,1924,84,758,0
5275 El Mirador Dr,Los Angeles,90008,3395000,4,3.5,2800,12197,1956,7,1213,0
541 Westbourne Dr,West Hollywood,90048,2995000,4,3.5,2736,6164,1926,13,1095,0
5506 Colbath Ave,Sherman Oaks,91401,1585000,4,3,2760,7261,1951,4,574,0
5533 Premiere Ave,Lakewood,90712,868800,4,2,1655,5301,1950,7,525,0
555 Winston Ave,San Marino,91108,3998000,4,5,3817,14211,2019,1,1047,0
5655 Bowcroft St,Los Angeles,90016,1745000,4,4,2122,6198,1950,6,822,7
5740 Ostrom Ave,Encino,91316,1199900,4,2,1469,5999,1955,3,817,0
609 S Electric Ave,Alhambra,91803,1258000,4,4,3198,7498,1991,7,393,0
609 S Highland Ave,Los Angeles,90036,2500000,4,3,2508,8100,1926,109,997,0
6114 Wall St,Los Angeles,90003,749988,4,4,2652,5117,1922,1,283,0
6157 Reno Ave,Temple City,91780,2480000,4,4.5,3042,7900,2021,33,815,0
6189 Fremont Way,Buena Park,90620,899900,4,2,1900,6240,1962,9,474,0
625 S Fremont Ave,Alhambra,91803,899000,4,3,2160,5750,1956,25,416,0
6300 Sheridan Way,Buena Park,90620,850000,4,2,1497,6900,1963,3,568,0
638 E 137th St,Los Angeles,90059,900000,4,2,3465,5000,1944,1,260,0
645 Milo Ter,Highland Park,90042,1829000,4,3,3200,4871,1925,3,572,0
6517 Pacific Ave,Playa Del Rey,90293,2275000,4,3,2296,1858,1969,3,991,0
6531 Maryland Dr,Los Angeles,90048,2795000,4,3,2788,6104,1937,84,1003,0
6672 Cardale St,Lakewood,90713,799000,4,2,1503,6130,1962,3,532,0
6817 Sultana Ave,San Gabriel,91775,1180000,4,3,1999,11775,1941,6,590,0
70 N Craig Ave,Pasadena,91107,1429000,4,4,2204,8503,1931,136,648,0
700 Alabama St,San Gabriel,91775,1760000,4,4,3180,9017,1947,152,553,0
714 Plymouth Rd,San Marino,91108,2488000,4,3,2975,7667,1928,21,836,0
7262 Monterey Ln,La Palma,90623,955000,4,2.5,1785,4784,1969,15,535,0
7461 Colombia Dr,Buena Park,90620,899000,4,2,1640,6154,1957,10,548,0
750 S Euclid Ave S,Pasadena,91106,1900000,4,2,1632,10736,1921,0,1164,0
755 E 91st St,Los Angeles,90002,760000,4,0,2175,4763,1960,1,349,0
7841 E Ritchie Ave,Long Beach,90808,1184999,4,2,2032,5492,1963,35,583,0
7928 W 79th St,Playa del Rey,90293,2200000,4,4,2752,5001,1962,1,799,0
806-808 W sepulveda St,San Pedro,90731,879000,4,4,2160,5967,1958,2,407,0
825 Cambridge Ct,Pasadena,91107,2190000,4,4.5,3448,7076,2009,33,635,140
